Date,Adj Close,Close,High,Low,Open,Volume,Ticker,Company,Sector,Market Cap,Forward PE,EPS,Revenue,Net Income,Profit Margin,Return on Equity
2020-06-24,87.15503692626953,90.01499938964844,92.19750213623048,89.62999725341797,91.25,192623200,AAPL,Apple Inc.,Technology,4138015391744,29.320671,8.25,451442016256,122575003648,0.27152002,1.4147099
2020-06-25,88.31204986572266,91.20999908447266,91.25,89.39250183105469,90.1750030517578,137522400,AAPL,Apple Inc.,Technology,4138015391744,29.320671,8.25,451442016256,122575003648,0.27152002,1.4147099
2020-06-26,85.59862518310547,88.40750122070312,91.33000183105467,88.25499725341797,91.10250091552734,205256800,AAPL,Apple Inc.,Technology,4138015391744,29.320671,8.25,451442016256,122575003648,0.27152002,1.4147099
2020-06-29,87.57137298583984,90.44499969482422,90.5425033569336,87.81999969482422,88.3125,130646000,AAPL,Apple Inc.,Technology,4138015391744,29.320671,8.25,451442016256,122575003648,0.27152002,1.4147099
2020-06-30,88.30238342285156,91.1999969482422,91.49500274658205,90.0,90.0199966430664,140223200,AAPL,Apple Inc.,Technology,4138015391744,29.320671,8.25,451442016256,122575003648,0.27152002,1.4147099
2020-07-01,88.13536834716797,91.02749633789062,91.83999633789062,90.97750091552734,91.27999877929688,110737200,AAPL,Apple Inc.,Technology,4138015391744,29.320671,8.25,451442016256,122575003648,0.27152002,1.4147099
2020-07-02,88.13536834716797,91.02749633789062,92.61750030517578,90.91000366210938,91.9625015258789,114041600,AAPL,Apple Inc.,Technology,4138015391744,29.320671,8.25,451442016256,122575003648,0.27152002,1.4147099
2020-07-06,90.49300384521484,93.4625015258789,93.94499969482422,92.46749877929688,92.5,118655600,AAPL,Apple Inc.,Technology,4138015391744,29.320671,8.25,451442016256,122575003648,0.27152002,1.4147099
2020-07-07,90.21221923828124,93.17250061035156,94.65499877929688,93.05750274658205,93.85250091552734,112424400,AAPL,Apple Inc.,Technology,4138015391744,29.320671,8.25,451442016256,122575003648,0.27152002,1.4147099
2020-07-08,92.3132781982422,95.34249877929688,95.375,94.08999633789062,94.18000030517578,117092000,AAPL,Apple Inc.,Technology,4138015391744,29.320671,8.25,451442016256,122575003648,0.27152002,1.4147099
